date,open,high,low,close
109/09/01,102.45,103.35,101.85,103.35
109/09/02,103.65,104.05,102.3,103
109/09/03,103.7,104.3,103.2,103.3
109/09/04,102,102.7,101.9,102.55
109/09/07,102.55,103.05,101.9,102.4
109/09/08,102.75,103.1,102.45,103
109/09/09,101.75,102.35,101.15,102.3
109/09/10,102.8,103.35,102.6,103.2
109/09/11,103.2,103.35,102.8,103.25
109/09/14,103.5,104.55,103.25,104.55
109/09/15,104.45,105.2,104.25,104.95
109/09/16,106.55,107,106.35,106.55
109/09/17,106.05,106.35,105.1,105.4
109/09/18,105.4,105.7,104.85,105.3
109/09/21,105.2,105.9,104.35,104.45
109/09/22,104.3,104.3,102.95,103.1
109/09/23,103.5,103.5,102.4,102.95
109/09/24,101.55,101.8,100.25,100.45
109/09/25,100.75,101.45,100.05,100.65
109/09/28,101.35,102.3,101,102.3
109/09/29,102.75,103.5,102.15,102.55
109/09/30,102.75,103.45,102.6,103
